setdate,collectdate,site,name,Dichotomius satanas,Eurysternus magnus,Onthophagus aff. anthracinus,Onthophagus longimanus,Copris nubilosus,Dichotomius annae,Copris laeviceps,Phanaeus endymion,Eurysternus mexicanus,Onthophagus aff. belhorinus,Onthophagus rhinolophus,Onthophagus cyanellus
2013-06-27,2013-07-01,BA3_SS1,Sam,18,3,1,1,0,0,0,0,0,0,0,0
,,BA3_SS2,Sam,6,7,0,0,1,2,0,0,0,0,0,0
2013-06-28,2013-07-02,BA2_SS1,Sam,21,3,0,0,0,2,0,0,0,0,0,0
,,BA2_SS2,Sam,7,7,0,0,0,0,0,0,0,0,0,0
,,BA2_SS3,Sam,8,10,1,0,0,0,1,1,0,0,0,0
,,BA2_SS5,Sam,28,11,0,0,1,0,0,0,0,0,0,0
,,BA2_SS6,Sam,11,2,0,0,0,0,4,0,0,0,0,0
2013-06-29,2013-07-04,BA1_SS1,Sam,3,0,0,0,0,2,0,0,3,0,0,0
,,BA1_SS2,Sam,5,0,0,0,0,4,0,0,3,1,1,0
,,BA1_SS3,Sam,21,2,0,1,0,17,0,0,3,0,0,0
,,BA1_SS4,Sam,5,11,2,1,0,3,0,1,1,0,0,0
,,BA1_SS5,Sam,5,1,1,0,0,3,0,0,0,0,0,0
2013-06-30,2013-07-05,BA4_SS1,Sam,3,5,0,0,0,0,0,0,0,0,0,1
,,BA4_SS2,Sam,10,0,0,0,2,0,0,0,0,0,0,1
,,BA4_SS3,Sam,8,1,0,0,3,0,0,0,0,0,0,0
,,BA4_SS4,Sam,5,0,0,0,7,0,0,0,0,0,0,1
,,BA4_SS5,Sam,7,0,0,0,3,0,0,0,0,0,0,2
,2013-07-07,BA3_SS1,Sam,5,11,0,0,0,0,0,0,0,0,0,0
,,BA3_SS2,Sam,6,18,0,0,0,2,0,1,0,0,0,0
,2013-07-08,BA2_SS1,Sam,19,4,0,0,0,1,0,0,0,0,0,2
,,BA2_SS2,Sam,5,16,0,0,0,0,1,0,0,0,0,0
,,BA2_SS3,Sam,8,14,0,0,0,0,0,1,0,0,0,0
,,BA2_SS5,Sam,19,11,0,0,0,0,2,0,0,0,0,1
,,BA2_SS6,Sam,19,16,1,0,0,0,5,1,0,0,0,0
2013-07-04,2013-07-11,BA1_SS1,Sam,1,0,0,0,0,1,0,0,0,0,0,0
,,BA1_SS2,Sam,19,0,0,0,0,3,0,0,2,1,2,0
,,BA1_SS3,Sam,6,0,1,0,0,0,0,0,0,1,0,0
,,BA1_SS4,Sam,3,16,0,1,0,1,0,2,0,0,0,1
,,BA1_SS5,Sam,12,14,1,0,0,0,0,9,0,0,0,0
2013-07-05,2013-07-12,BA4_SS1,Sam,2,8,1,0,0,0,0,0,0,0,0,1
,,BA4_SS2,Sam,7,2,0,0,1,0,0,0,0,0,0,0
,,BA4_SS3,Sam,9,2,0,0,2,0,0,0,0,0,0,1
,,BA4_SS4,Sam,15,2,0,0,10,0,0,0,0,0,0,0
,,BA4_SS5,Sam,17,7,0,0,9,0,0,0,0,0,0,4
2013-07-07,2013-07-14,BA3_SS1,Sam,1,3,0,0,0,0,0,0,0,0,0,0
,,BA3_SS2,Sam,0,4,0,0,0,0,0,0,0,0,0,0
2013-07-08,2013-07-15,BA2_SS1,Sam,8,4,0,0,0,2,1,0,0,0,0,0
,,BA2_SS2,Sam,6,21,0,0,0,0,0,0,0,0,0,0
,,BA2_SS3,Sam,4,14,0,0,0,0,0,0,0,0,0,0
,,BA2_SS5,Sam,11,13,0,0,0,0,0,0,1,0,0,0
,,BA2_SS6,Sam,7,9,0,0,0,0,0,0,0,0,0,0
2013-07-11,2013-07-18,BA1_SS1,Sam,7,,,,,1,,1,,2,,
,,BA1_SS2,Sam,,1,,,,,,,,1,1,
,,BA1_SS3,Sam,5,,,,,9,,,,,,
,,BA1_SS4,Sam,1,13,3,,,1,,1,,,,
,,BA1_SS5,Sam,1,5,3,,,1,,11,,,,
2013-07-12,2013-07-16,BA4_SS1,Sam,1,2,1,,,,,,,,,1
,,BA4_SS2,Sam,1,,,,6,,,,,,,
,,BA4_SS3,Sam,5,1,,,8,,,,,,,2
,,BA4_SS4,Sam,5,,,,3,,,,,,,
,,BA4_SS5,Sam,1,,,,2,,,,,,,
,2013-07-19,BA3_SS1,Sam,4,8,,,,,,,,,,3
,,BA3_SS2,Sam,4,1,,,,,,3,,,,
2013-07-15,2013-07-20,BA2_SS1,Sam,7,5,1,,,3,1,,,,,
,,BA2_SS2,Sam,3,,,,,1,,,,,,
,,BA2_SS3,Sam,4,12,,,,3,,,,,,
,,BA2_SS5,Sam,14,4,,,,,,1,,,,
,,BA2_SS6,Sam,2,7,,,,,1,,,,,
2013-07-16,2013-07-21,BA4_SS1,Sam,,3,,,,,,,,,,1
,,BA4_SS2,Sam,8,2,,,4,,,,,,,
,,BA4_SS3,Sam,4,1,,,1,,,,,,,1
,,BA4_SS4,Sam,12,1,,,1,,,,,,,
,,BA4_SS5,Sam,3,,,,,,,,,,,2
2013-07-18,2013-07-22,BA1_SS1,Sam,1,,,,,4,,,,,,
,,BA1_SS2,Sam,3,,,,,2,,,,,,
,,BA1_SS3,Sam,7,1,,,,12,,,1,,,
,,BA1_SS4,Sam,,1,,,,2,,1,,,,
,,BA1_SS5,Sam,3,1,,,,1,,5,,,,
